ticker,Date,SplitRatio
INTC,1997-07-14 00:00:00-04:00,2.0
INTC,1999-04-12 00:00:00-04:00,2.0
INTC,2000-07-31 00:00:00-04:00,2.0
IP,1962-11-19 00:00:00-05:00,1.02
IP,1987-05-20 00:00:00-04:00,2.0
IP,1995-09-18 00:00:00-04:00,2.0
IP,2014-07-02 00:00:00-04:00,1.014
IP,2021-10-01 00:00:00-04:00,1.056
IPG,1984-02-15 00:00:00-05:00,2.0
IPG,1986-06-24 00:00:00-04:00,2.0
IPG,1989-06-16 00:00:00-04:00,1.5
IPG,1992-06-16 00:00:00-04:00,2.0
IPG,1997-07-16 00:00:00-04:00,1.5
IPG,1999-07-16 00:00:00-04:00,2.0
ISTB,2016-07-25 00:00:00-04:00,2.0
IWM,2005-06-09 00:00:00-04:00,2.0
IYR,2005-06-09 00:00:00-04:00,2.0
JG,2023-12-11 00:00:00-05:00,0.05
JNJ,1967-06-19 00:00:00-04:00,3.0
JNJ,1970-05-18 00:00:00-04:00,3.0
JNJ,1981-05-19 00:00:00-04:00,3.0
JNJ,1989-05-11 00:00:00-04:00,2.0
JNJ,1992-06-10 00:00:00-04:00,2.0
JNJ,1996-06-12 00:00:00-04:00,2.0
JNJ,2001-06-13 00:00:00-04:00,2.0
JNK,2019-05-06 00:00:00-04:00,0.3333333333333333
JPM,1982-04-16 00:00:00-05:00,1.5
JPM,1984-04-16 00:00:00-05:00,1.5
JPM,1998-06-15 00:00:00-04:00,2.0
JPM,2000-06-12 00:00:00-04:00,1.5
KO,1965-02-19 00:00:00-05:00,2.0
KO,1968-06-03 00:00:00-04:00,2.0
KO,1977-06-01 00:00:00-04:00,2.0
KO,1986-07-01 00:00:00-04:00,3.0
KO,1990-05-14 00:00:00-04:00,2.0
KO,1992-05-12 00:00:00-04:00,2.0
KO,1996-05-13 00:00:00-04:00,2.0
KO,2012-08-13 00:00:00-04:00,2.0
KR,1979-05-29 00:00:00-04:00,2.0
KR,1986-10-01 00:00:00-04:00,2.0
KR,1997-04-23 00:00:00-04:00,2.0
KR,1999-06-29 00:00:00-04:00,2.0
KR,2015-07-14 00:00:00-04:00,2.0
